,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk,age_binned,tenure_binned,salary_binned,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,PrevCountryLat,PrevCountryLon,Previous Region,Previous Functional Area_new,Previous Job Level_new,Previous Career Path_new,Previous Performance Rating_new,Previous Region_new
17332,27931,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,1 - Increasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,3,1,2,0
17333,27932,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,1 - Increasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
17334,27933,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,2 - Specialist,Functional,2 - Partially Meets Expectations,APJ,Japan,36.574844,139.239418,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,Service,3 - Senior,Functional,2 - Partially Meets Expectations,36.574844,139.239418,APJ,4,2,1,1,0
17335,27934,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,1 - Associate,Functional,3 - Meets Expectations,APJ,Australia,-24.776108999999998,134.755,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,5 - Consistently Exceeds Expectations,-24.776108999999998,134.755,APJ,2,2,1,4,0
17336,27935,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,35.000074,104.999927,APJ,2,2,1,3,0
17337,27936,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,Service,3 - Senior,Functional,5 - Consistently Exceeds Expectations,22.351115,78.667743,APJ,4,2,1,4,0
17338,27937,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
17339,27938,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,1,1,3,0
17340,27939,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17341,27940,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,3,2,3,0
17342,27941,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17343,27942,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,Singapore,1.290475,103.852036,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,1.290475,103.852036,APJ,1,3,1,3,0
17344,27943,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,F&A. HR. Administration,2 - Specialist,Functional,4 - Exceeds Expectations,APJ,Singapore,1.290475,103.852036,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Sales,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,1.290475,103.852036,APJ,3,1,1,4,0
17345,27944,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
17346,27945,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Support,2 - Specialist,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,5,1,1,2,0
17347,27946,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Support,2 - Specialist,Functional,4 - Exceeds Expectations,-4.799336,114.563203,APJ,5,1,1,3,0
17348,27947,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,3,0
17349,27948,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,35.000074,104.999927,APJ,2,1,1,4,0
17350,27949,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,0 - No performance Measurement,APJ,India,22.351115,78.667743,No,No,0 - Not available,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,2 - Partially Meets Expectations,22.351115,78.667743,APJ,2,1,1,1,0
17351,27950,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,3,0
17352,27951,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,3 - Senior,Functional,4 - Exceeds Expectations,35.000074,104.999927,APJ,1,2,1,3,0
17353,27952,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,3 - Meets Expectations,-41.500083000000004,172.834408,APJ,2,2,1,2,0
17354,27953,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,22.351115,78.667743,APJ,2,1,1,4,0
17355,27954,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,R&D,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,Sales,3 - Senior,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,3,2,1,2,0
17356,27955,18,No,Medium,Medium,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Marketing,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Ireland,52.865196,-7.97946,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,Support,3 - Senior,Functional,4 - Exceeds Expectations,61.066692,-107.991707,Americas,5,2,1,3,1
17357,27956,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,5 - Consistently Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,4,0
17358,27957,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,Yes,0,Sales,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17359,27958,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,F&A. HR. Administration,3 - Senior,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,3,0
17360,27959,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,Japan,36.574844,139.239418,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,36.574844,139.239418,APJ,1,3,1,2,0
17361,27960,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,3,0
17362,27961,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Marketing,3 - Senior,Functional,3 - Meets Expectations,APJ,Japan,36.574844,139.239418,No,Yes,2 - Constant,Cross-Functional Move,Demotion,Yes,1,1,4,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,36.574844,139.239418,APJ,3,3,1,2,0
17363,27962,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Support,3 - Senior,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,5,2,1,2,0
17364,27963,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,1 - Associate,Functional,3 - Meets Expectations,EMEA,Spain,40.002803,-4.003104,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,Service,2 - Specialist,Functional,4 - Exceeds Expectations,40.002803,-4.003104,EMEA,4,1,1,3,2
17365,27964,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,2 - Partially Meets Expectations,APJ,Japan,36.574844,139.239418,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,3 - Senior,Functional,3 - Meets Expectations,36.574844,139.239418,APJ,1,2,1,2,0
17366,27965,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,0 - No performance Measurement,APJ,China,35.000074,104.999927,No,No,0 - Not available,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,35.000074,104.999927,APJ,2,1,1,4,0
17367,27966,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,R&D,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Support,2 - Specialist,Functional,4 - Exceeds Expectations,35.000074,104.999927,APJ,5,1,1,3,0
17368,27967,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Support,2 - Specialist,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,5,1,1,2,0
17369,27968,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Service,2 - Specialist,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,4,1,1,2,0
17370,27969,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Service,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,4,2,1,3,0
17371,27970,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,4 - Exceeds Expectations,APJ,Australia,-24.776108999999998,134.755,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Service,3 - Senior,Functional,4 - Exceeds Expectations,-24.776108999999998,134.755,APJ,4,2,1,3,0
17372,27971,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
17373,27972,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,5 - Consistently Exceeds Expectations,22.351115,78.667743,APJ,2,1,1,4,0
17374,27973,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17375,27974,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,3 - Meets Expectations,APJ,Singapore,1.290475,103.852036,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,3 - Senior,Functional,3 - Meets Expectations,1.290475,103.852036,APJ,1,2,1,2,0
17376,27975,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,2 - Partially Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Service,3 - Senior,Functional,5 - Consistently Exceeds Expectations,35.000074,104.999927,APJ,4,2,1,4,0
17377,27976,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,3 - Senior,Functional,3 - Meets Expectations,APJ,Japan,36.574844,139.239418,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Service,3 - Senior,Functional,3 - Meets Expectations,36.574844,139.239418,APJ,4,2,1,2,0
17378,27977,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,4 - Exceeds Expectations,APJ,China,35.000074,104.999927,No,Yes,1 - Increasing,Cross-Functional Move,Demotion,Yes,1,1,4,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,35.000074,104.999927,APJ,4,3,1,2,0
17379,27978,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,APJ,Australia,-24.776108999999998,134.755,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Sales,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,-24.776108999999998,134.755,APJ,3,3,2,4,0
17380,27979,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,Yes,1 - Increasing,Cross-Functional Move,Demotion,Yes,1,1,4,Service,3 - Senior,Functional,2 - Partially Meets Expectations,35.000074,104.999927,APJ,4,2,1,1,0
17381,27980,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,1 - Increasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17382,27981,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,Yes,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,China,35.000074,104.999927,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,4 - Exceeds Expectations,35.000074,104.999927,APJ,2,1,1,3,0
17383,27982,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Ireland,52.865196,-7.97946,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Support,2 - Specialist,Functional,3 - Meets Expectations,52.865196,-7.97946,EMEA,5,1,1,2,2
17384,27983,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,3 - Senior,Functional,3 - Meets Expectations,EMEA,France,46.603353999999996,1.888334,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,Service,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,46.603353999999996,1.888334,EMEA,4,3,2,3,2
17385,27984,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17386,27985,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,3 - Senior,Functional,4 - Exceeds Expectations,APJ,Singapore,1.290475,103.852036,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Service,3 - Senior,Functional,4 - Exceeds Expectations,1.290475,103.852036,APJ,4,2,1,3,0
17387,27986,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,2 - Specialist,Functional,2 - Partially Meets Expectations,APJ,Japan,36.574844,139.239418,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Marketing,2 - Specialist,Functional,2 - Partially Meets Expectations,36.574844,139.239418,APJ,1,1,1,1,0
17388,27987,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,4 - Expert / Manager,Functional,5 - Consistently Exceeds Expectations,APJ,Singapore,1.290475,103.852036,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,4 - Expert / Manager,Functional,5 - Consistently Exceeds Expectations,1.290475,103.852036,APJ,2,3,1,4,0
17389,27988,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
17390,27989,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,3,2,3,0
17391,27990,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,1,1,3,0
17392,27991,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Project / Management,3 - Meets Expectations,APJ,Australia,-24.776108999999998,134.755,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,Service,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,-24.776108999999998,134.755,APJ,4,3,2,3,0
17393,27992,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,3 - Meets Expectations,EMEA,UK,54.702355000000004,-3.276575,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,54.702355000000004,-3.276575,EMEA,2,2,1,3,2
17394,27993,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,EMEA,UK,54.702355000000004,-3.276575,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,Sales,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,54.702355000000004,-3.276575,EMEA,3,3,2,4,2
17395,27994,18,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,4 - Expert / Manager,Project / Management,3 - Meets Expectations,22.351115,78.667743,APJ,2,3,2,2,0
17396,27995,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,3 - Senior,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,3,0
17397,27996,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Cross-Functional Move,Demotion,Yes,1,1,4,R&D,3 - Senior,Functional,5 - Consistently Exceeds Expectations,22.351115,78.667743,APJ,2,2,1,4,0
17398,27997,18,Yes,High,High,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,63000,Full-Time,Temporary,No,0,Support,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,1,1,2,0
