,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,Previous Country,PrevCountryLat,PrevCountryLon,Previous Region,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk
2181,12342,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Puerto Rico,18.221417000000002,-66.413282,Yes,No,0 - Not available,No change,No change,No
2182,12343,46,No,Medium,Medium,No,Female,Generation X,Managerial,Non-Minority,96,120000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Functional,2 - Partially Meets Expectations,EMEA,Spain,40.002803,-4.003104,Yes,No,0 - Not available,No change,No change,No
2183,12344,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,8,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2184,12345,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,3 - Senior,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2185,12346,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Part-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2186,12347,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2187,12348,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,9,30000,Full-Time,Regular,Yes,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2188,12349,20,No,Low,High,No,Female,Generation Y,Non-Managerial,Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2189,12350,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,8,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2190,12351,20,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2191,12352,20,No,Low,High,No,Female,Generation Y,Non-Managerial,Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2192,12353,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2193,12354,46,No,Medium,Medium,No,Female,Generation X,Managerial,Non-Minority,96,120000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,Colombia,2.889443,-73.78389200000001,Yes,No,0 - Not available,No change,No change,No
2194,12355,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,2 - Specialist,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2195,12356,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2196,12357,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2197,12358,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,2,30000,Full-Time,Temporary,No,,,,,,,,,3,Service,5 - Senior Expert / Senior Manager,Project / Management,4 - Exceeds Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,External Hire,External Hire,No
2198,12359,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2199,12360,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2200,12361,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2201,12362,20,No,Low,High,No,Female,Generation Y,Non-Managerial,Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Support,2 - Specialist,Functional,0 - No performance Measurement,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,External Hire,External Hire,No
2202,12363,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2203,12364,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2204,12365,46,No,Medium,Medium,Yes,Female,Generation X,Non-Managerial,Non-Minority,15,120000,Full-Time,Regular,No,,,,,,,,,3,Marketing,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2205,12366,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,9,30000,Full-Time,Regular,Yes,,,,,,,,,3,Sales,4 - Expert / Manager,Project / Management,2 - Partially Meets Expectations,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,No change,No change,No
2206,12367,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2207,12368,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,Argentina,-34.996496,-64.967282,Yes,No,0 - Not available,No change,No change,No
2208,12369,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,8,40000,Full-Time,Regular,No,,,,,,,,,3,F&A. HR. Administration,1 - Associate,Functional,3 - Meets Expectations,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,No change,No change,No
2209,12370,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2210,12371,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2211,12373,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,8,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,3 - Senior,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2212,12374,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,9,50000,Full-Time,Regular,No,,,,,,,,,3,Support,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2213,12375,20,No,Low,High,No,Female,Generation Y,Non-Managerial,Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2214,12376,46,Yes,Unallocated,Unallocated,Yes,Male,Generation X,Non-Managerial,Non-Minority,96,50000,Part-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,Singapore,1.290475,103.852036,Yes,No,0 - Not available,No change,No change,No
2215,12377,20,No,Low,High,No,Female,Generation Y,Non-Managerial,Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2216,12378,20,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Temporary,No,,,,,,,,,3,Service,2 - Specialist,Functional,2 - Partially Meets Expectations,Americas,Argentina,-34.996496,-64.967282,Yes,No,0 - Not available,External Hire,External Hire,No
2217,12379,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2218,12380,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2219,12381,20,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2220,12382,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2221,12383,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2222,12384,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2223,12385,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,Yes,,,,,,,,,3,Service,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2224,12386,20,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2225,12387,46,No,Unallocated,Unallocated,No,Female,Generation X,Non-Managerial,Non-Minority,72,85000,Full-Time,Temporary,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2226,12388,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2227,12389,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,2 - Specialist,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,External Hire,External Hire,No
2228,12390,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Regular,No,,,,,,,,,3,Service,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2229,12391,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,50000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2230,12392,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Part-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2231,12393,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2232,12394,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2233,12395,20,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2234,12397,20,No,Medium,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Regular,Yes,,,,,,,,,3,Service,1 - Associate,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2235,12398,46,No,Medium,Medium,No,Female,Generation X,Non-Managerial,Minority,180,85000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,3 - Meets Expectations,APJ,Japan,36.574844,139.239418,Yes,No,0 - Not available,No change,No change,No
2236,12399,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,50000,Full-Time,Regular,No,,,,,,,,,3,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2237,12400,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,14,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,1 - Does Not Meet Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2238,12401,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2239,12402,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2240,12404,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,50000,Part-Time,Regular,No,,,,,,,,,3,Service,2 - Specialist,Functional,0 - No performance Measurement,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2241,12405,20,Yes,High,Medium,Yes,Male,Generation Y,Non-Managerial,Minority,14,50000,Full-Time,Regular,Yes,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,2 - Partially Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2242,12406,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2243,12408,20,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2244,12410,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2245,12411,20,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,2 - Specialist,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2246,12412,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2247,12413,20,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Temporary,No,,,,,,,,,3,Service,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2248,12414,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Regular,No,,,,,,,,,3,R&D,3 - Senior,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
2249,12415,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,2,40000,Full-Time,Regular,Yes,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,No change,No change,No
2250,12417,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2251,12418,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Service,3 - Senior,Functional,0 - No performance Measurement,Americas,Argentina,-34.996496,-64.967282,Yes,No,0 - Not available,No change,No change,No
2252,12419,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2253,12420,46,Yes,Low,High,Yes,Female,Generation X,Managerial,Non-Minority,60,120000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
2254,12421,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2255,12422,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,2,40000,Full-Time,Temporary,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2256,12423,20,No,High,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,50000,Full-Time,Regular,No,,,,,,,,,3,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2257,12424,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,15,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,2 - Partially Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2258,12425,20,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2259,12426,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,3 - Senior,Functional,3 - Meets Expectations,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,No change,No change,No
2260,12427,20,Yes,Low,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2261,12428,20,No,Low,Low,No,Male,Generation Y,Non-Managerial,Minority,34,30000,Full-Time,Regular,Yes,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2262,12429,20,No,Low,Low,No,Male,Generation Y,Non-Managerial,Minority,34,30000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2263,12430,20,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Minority,5,50000,Full-Time,Temporary,No,,,,,,,,,3,Marketing,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2264,12431,46,No,Unallocated,Unallocated,No,Male,Generation X,Non-Managerial,Non-Minority,72,40000,Full-Time,Temporary,Yes,,,,,,,,,3,Service,3 - Senior,Functional,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
2270,12437,20,No,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,Yes,,,,,,,,,3,Sales,3 - Senior,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2271,12438,20,Yes,Low,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2272,12439,20,No,Unallocated,Unallocated,Yes,Female,Generation Y,Managerial,Non-Minority,2,50000,Full-Time,Regular,Yes,,,,,,,,,3,R&D,3 - Senior,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,External Hire,External Hire,No
2273,12440,20,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Minority,2,40000,Full-Time,Regular,Yes,,,,,,,,,3,Sales,5 - Senior Expert / Senior Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2274,12441,20,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2275,12442,20,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,40000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,External Hire,External Hire,No
2276,12443,20,No,Low,Low,No,Male,Generation Y,Non-Managerial,Minority,34,30000,Full-Time,Regular,Yes,,,,,,,,,3,Support,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,Yes,No,0 - Not available,No change,No change,No
2277,12445,20,Yes,Low,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,No change,No change,No
2278,12446,20,No,High,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Regular,No,,,,,,,,,3,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2279,12448,20,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Regular,No,,,,,,,,,3,R&D,4 - Expert / Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
2280,12449,20,Yes,Low,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,3,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,Americas,Argentina,-34.996496,-64.967282,Yes,No,0 - Not available,No change,No change,No
